supplier_name,duns_number,region,country,debt_to_equity,current_ratio,altman_z_score,revenue,market_cap,on_time_delivery,order_volume,inflation_rate,currency_volatility,news_risk_score,bankruptcy_risk
Supplier_1,DUNS-100001,Asia,China,1.5435235341190856,1.203900567563372,2.639341786901429,3980987466,1549323108,97.3820721202939,174,2.534481576066022,0.008311037342582801,0.17453198003683562,1
Supplier_2,DUNS-100002,South America,Germany,1.3504963247670663,1.636060223147195,2.0798481859888436,4593490831,8258923443,86.88548408321603,7081,3.173527232991794,0.012574856491430593,0.637732781611023,0
Supplier_3,DUNS-100003,North America,Germany,1.5458803882677512,1.1206029500286132,2.548861459493013,4803481111,7004397119,91.03117865528283,5575,1.1235055035272294,0.010717305485835495,0.4568659824261616,0
Supplier_4,DUNS-100004,Asia,Mexico,0.5062155426995536,2.016050749976886,2.230280482196768,1166476131,5444456122,92.01302147047107,8332,6.908966200439277,0.025943688089231694,0.46996274911748437,0
Supplier_5,DUNS-100005,Asia,Germany,1.390164056081244,1.387700204329502,2.5794621416758736,4483763262,1518835909,80.24879467517835,7284,1.900589821831686,0.030402059282236625,0.46776650491936356,0
Supplier_6,DUNS-100006,South America,Germany,1.6785562857558731,0.9428527330751152,2.9634914721647325,1251575112,4110175864,92.6072100683175,5896,2.4578089128608536,0.019052466264215976,0.2793015318023883,0
Supplier_7,DUNS-100007,North America,Germany,2.238947022370758,0.8787322505816663,3.6102117713017465,1816119412,132359860,83.38268337052527,7241,1.7711034096677962,0.022296279301636534,0.6611210891796757,0
Supplier_8,DUNS-100008,North America,Mexico,1.2408648908631763,1.3447417245729556,1.6335291508212058,622025740,5362764308,98.26033603191965,1722,3.9235631237468103,0.018475286448949038,0.6684102775786231,0
Supplier_9,DUNS-100009,Asia,Germany,1.0957531985534061,1.1329611644022446,3.9931233622593867,4672245410,5964162885,82.82459182730915,8141,2.705996053136503,0.01189224080107015,0.47518279612836867,0
Supplier_10,DUNS-100010,Europe,China,1.2491214782077318,1.4142001482276276,1.1335385403342488,4089553413,9067409085,87.87785835081345,441,1.5542887348541732,0.028622630247968787,0.5700536355649688,0
Supplier_11,DUNS-100011,Asia,Mexico,1.957701058851037,1.3419712873720635,2.3937504334750916,3997833240,7856130653,81.62164369349424,2174,3.985325049336514,0.02652534693759479,0.46735479152869475,1
Supplier_12,DUNS-100012,Asia,China,1.6643755548298422,1.1781513262029382,2.9118220445392033,4700369033,8928964503,98.940610785073,8092,4.187473721884187,0.0010745401469603628,0.3906390685444243,0
Supplier_13,DUNS-100013,Asia,Mexico,1.2351198981164806,0.9459618845794785,2.6966943074145227,757957764,8911707266,89.5417051962936,745,2.8996855132840995,0.017168909987647463,0.4964920709795504,0
Supplier_14,DUNS-100014,Asia,Germany,1.756633716556678,0.7455458325942406,2.0641103361255846,1816327287,8768285470,91.31231532908083,4363,2.004561072926885,0.011179726587925718,0.4318008715551751,0
Supplier_15,DUNS-100015,South America,China,1.5485387746740202,1.0660455143798937,2.3543144247499073,3389776373,6868861651,81.27445307038012,8901,6.286599008339576,0.01609061430334775,0.458485517579158,1
Supplier_16,DUNS-100016,North America,Mexico,1.9843224952664447,1.4569196382970415,2.154899345738817,2113173777,8582848885,94.24924893758438,6236,3.5101014457878463,0.013295684329537406,0.5702995320513171,0
Supplier_17,DUNS-100017,South America,USA,1.1489734530613238,1.264228123239061,2.087444670139052,1668081546,2207749981,83.98820626881613,8746,1.0888965225700145,0.019535796292586,0.38854229886939096,0
Supplier_18,DUNS-100018,South America,Germany,1.3361689267011159,0.8262783663864035,3.0947214679147175,3269414297,3185750465,97.06303149937357,3069,5.121060691504152,0.01670085264866526,0.12445246365548367,0
Supplier_19,DUNS-100019,South America,Mexico,1.3039459234339212,1.2519542777553545,2.749910840175533,1737876824,8552470169,83.89765316915813,3128,1.7163378758811432,0.01648859306179161,0.19839968859369833,0
Supplier_20,DUNS-100020,Asia,USA,0.7682425259339407,1.315595213918651,2.014963283317542,2494186288,7448484931,83.62306669260967,7743,7.1128175104048745,0.031073884283387136,0.36316432989372305,0
Supplier_21,DUNS-100021,Europe,Mexico,1.648060138532288,0.9348427691396601,3.1297199128032753,322781216,9546810323,80.6944436891138,2781,3.11948678629138,0.025571786606692487,0.534895935924435,0
Supplier_22,DUNS-100022,North America,USA,1.6305276360899446,1.2461175317836584,2.7151096646136264,4503116008,3262157587,88.96927195708999,3729,4.51997405408303,0.012961053496995664,0.4559671889861072,0
Supplier_23,DUNS-100023,Europe,Germany,1.5025567283212304,1.2174626155338,3.069003483187272,624890494,2375645579,90.73198153198972,4325,-0.12002634127035172,0.01444453267186579,0.4901765115240724,0
Supplier_24,DUNS-100024,South America,China,1.3827064333124266,0.857108910650813,2.9407401893465286,108720660,7692555149,81.2484641491387,3167,1.0737886738650553,0.024917930553996125,0.3875673571457724,0
Supplier_25,DUNS-100025,South America,USA,0.7923146289747929,1.307336208104485,1.9197034923545493,4668631990,2273699965,94.7350247172052,6041,5.000789429641072,0.024904195717027663,0.4694452131653457,0
Supplier_26,DUNS-100026,Europe,Mexico,1.2896773386173206,1.3682353579104702,2.1078732718621214,2344999748,1685832837,88.61248786021252,1486,3.4767225984437053,0.01396219760937931,0.29741046268879734,0
Supplier_27,DUNS-100027,Europe,Germany,1.3286427417366153,1.524915372952583,3.0231055235862834,3270842116,6346033399,89.96341511722402,2966,6.063594634071109,0.017660093330978354,0.3821095556179991,0
Supplier_28,DUNS-100028,Europe,USA,1.0988613653891905,1.5161406156104709,2.9272591858034254,2563198102,6751199748,88.37449219182633,4888,3.7277626578443837,0.03846806040086968,0.5465674393569734,0
Supplier_29,DUNS-100029,South America,Mexico,1.4193571441669954,0.7866991896128727,2.4853688842250965,3168665268,3040212391,87.6144981566312,5590,3.2179443596115593,0.014134519114786569,0.6230996673838727,0
Supplier_30,DUNS-100030,South America,Mexico,1.7020254284072691,0.9186524880254632,2.5821291683161474,3301638985,4772357971,90.63316629485614,4224,5.570360986233308,0.039108045884587855,0.3601932003738333,0
Supplier_31,DUNS-100031,North America,Mexico,2.443092950605265,1.3545105801625978,3.3943654270518975,1085451476,696247870,82.94956467268354,8440,4.515205498838166,0.03103666942525805,0.12619699462441672,1
Supplier_32,DUNS-100032,North America,USA,1.5872889064159195,1.3541357852736626,2.085900027814919,1229964076,111643208,83.45663447941016,3950,2.7056082010855658,0.03725416275055466,0.19700352648808162,0
Supplier_33,DUNS-100033,South America,USA,1.6287751953613823,1.3545143058918143,2.8829681668190266,940035971,601205768,96.37392679925682,5515,1.3588438492523294,0.013709280279305711,0.11251668357492287,0
Supplier_34,DUNS-100034,Europe,USA,1.4627770421169164,2.3558194471964162,2.358465143296274,3301286503,4853237086,97.97619378053902,7779,-0.5574234971482408,0.01831444125937239,0.49195781154239804,0
Supplier_35,DUNS-100035,Europe,China,0.5406143923504793,1.3712671532079501,2.3476231577409457,4546386081,3753846596,87.0928770093153,6919,2.3435014952959423,0.015508361912244372,0.29938877521306534,0
Supplier_36,DUNS-100036,North America,USA,1.4867430622753917,1.5406696920541796,3.269143796391033,4440250022,7598903483,85.14414878972752,9428,1.2204973571679418,0.03126753191926203,0.42548718143162045,0
Supplier_37,DUNS-100037,South America,USA,1.5301151049705133,1.4862005290479607,3.0777914442916208,1371893169,8401905780,92.23599132154129,8478,6.896556964851576,0.014323162273279105,0.39596610807027977,0
Supplier_38,DUNS-100038,North America,USA,2.731621056242643,1.3954173753917394,3.069456745200447,429710429,980476065,87.76594925086383,9542,2.0244435838949597,0.027312154933428735,0.14891589373145603,0
Supplier_39,DUNS-100039,North America,China,1.4038195176094388,1.1054192266078964,3.41383516500803,2583841296,4601532219,80.48234075754655,1433,1.9834364915624327,0.02678299411192041,0.3419568166742991,0
Supplier_40,DUNS-100040,Asia,USA,1.6507736711668062,1.4276907661479803,2.5147026891429314,1856187414,3323381220,82.96689934995761,4250,0.7181326881170316,0.019519704692858235,0.23233667495339397,1
Supplier_41,DUNS-100041,Asia,Mexico,1.4826441151473784,0.9681524356387284,2.977367079906475,3420124516,7828953147,93.60347234810055,6866,2.6005240072159452,0.03298659734164336,0.3510398732005916,0
Supplier_42,DUNS-100042,Asia,USA,0.915660981190234,1.1289544179779973,2.282813270384581,2796036109,7938885154,92.51955489629287,2811,2.0031976055366814,0.02107679869726605,0.2221469682053456,0
Supplier_43,DUNS-100043,Europe,Mexico,2.0714114072575103,1.0543909356512688,2.7269164467419094,3929004262,900603300,80.51482385756618,4953,5.6065941431166895,0.02834085718608303,0.60427144376616,0
Supplier_44,DUNS-100044,South America,Mexico,1.8759665163433872,1.2245622418158968,2.4088998619426207,440850994,1112288338,84.21747107672604,6312,3.2527142391224766,0.015052966310822175,0.2045160019469522,0
Supplier_45,DUNS-100045,South America,Mexico,1.8955159735215235,1.8943975700020526,2.567897175494903,3169851489,8294222653,84.39042113517336,7579,2.9867039660154338,0.012765631858931748,0.6764683308921862,0
Supplier_46,DUNS-100046,South America,China,1.0453062726026305,0.6398204422224756,2.9166099178058396,2298854633,2626757929,92.76596212837583,5508,2.797990868876103,0.02731145529257608,0.34954441968816446,0
Supplier_47,DUNS-100047,South America,China,2.2013971554680496,1.405878057112354,1.9272455217365692,3046349008,3033385617,80.37450021733292,7815,4.179262380283804,0.024308402443337485,0.6077471752114295,1
Supplier_48,DUNS-100048,Asia,China,0.7990744686038596,0.7161852386431045,3.964671092979822,3470820252,8259009567,81.9780630577069,9042,2.321507751548249,0.022433076641283658,0.4772588909235671,0
Supplier_49,DUNS-100049,Europe,USA,1.7934285469001352,1.0584204402631698,1.7957878329502086,4629448659,6713309280,95.1984056220906,1862,4.000809140297758,0.016563116520622166,0.5412101791994516,0
Supplier_50,DUNS-100050,Europe,Mexico,2.595227812904989,1.5266851790902098,1.6500679710485875,4541939908,1626270096,83.39234857903234,7201,5.420954731091166,0.03549209476526304,0.5606343328400681,1
Supplier_51,DUNS-100051,Asia,China,1.0047318374346559,1.2192840057286387,3.3106776114500476,1542129217,1781402862,92.40217604918561,7774,3.6901125154494703,0.00883414195746153,0.4029069291358107,0
Supplier_52,DUNS-100052,Europe,China,1.216851135198614,0.8766765666212082,3.054163885774055,948209917,4681094196,84.52547283988781,6222,2.6254030757622973,0.008286569902690279,0.425980314017973,0
Supplier_53,DUNS-100053,Asia,USA,1.5498256825438206,0.9854088872220095,2.9368838719365087,2539577514,5824400194,81.88938646242755,581,1.5698112435421478,0.02942166505163829,0.40839752068523494,0
Supplier_54,DUNS-100054,South America,China,1.2482621729419003,1.4038793246804027,2.9398418564849957,2357528814,2227828256,84.62027162898963,253,2.5873140204793885,0.028600963841430696,0.45283502685404753,0
Supplier_55,DUNS-100055,Asia,USA,0.7246682844669337,0.980890010484859,2.4914272590071596,2026196758,7626514104,93.72307170525752,7717,3.8446183109588565,0.02353762778991868,0.11763666745390439,1
Supplier_56,DUNS-100056,South America,Germany,1.5342814874030137,1.2649375768745923,1.8719219399599178,2561551311,3136457980,96.25823289401943,1624,0.7012089871240179,0.017120477780971935,0.3373091019094091,0
Supplier_57,DUNS-100057,South America,China,0.9688481431369476,1.213671551971144,2.5530631907356085,1769277514,3443941018,95.77417742677284,2220,4.247314136563924,0.02502422129190412,0.4637132281367029,0
Supplier_58,DUNS-100058,North America,Germany,1.7367962153175909,1.0045198957182548,2.0259868019415217,3805165535,9304664608,87.54648706275064,2443,3.311419032342097,0.037208302971195345,0.4586341391535186,0
Supplier_59,DUNS-100059,Asia,USA,1.0402878828830984,1.8431832267975976,3.1825838133924256,2262922010,5273479619,92.69361759484228,5236,2.776216260361922,0.045155462078742256,0.5757736567633789,1
Supplier_60,DUNS-100060,North America,Mexico,2.27496720250877,1.3901757066954032,2.397059832948503,4229477151,7461849153,83.8947016129006,5860,2.0108798828234966,0.0034358629452484364,0.4930056032992651,0
Supplier_61,DUNS-100061,Asia,China,1.1083733538318814,0.5924572240027178,1.922151962245242,3579563924,6516601604,85.56980687495926,1340,2.285433448545949,0.015810798807514535,0.6952799898044034,1
Supplier_62,DUNS-100062,Asia,USA,1.3389692418971622,1.2559362944308283,2.2750299108429046,1532118609,542020981,97.03038055190127,160,3.895959062197962,0.015182267370151605,0.270312717165187,0
